"condor_memb","name","entity","tissue_type"
3,"CDKN2C","gene","BLADDER"
3,"CEBPB","gene","BLADDER"
1,"CEP192","gene","BLADDER"
1,"CEP290","gene","BLADDER"
3,"CEPT1","gene","BLADDER"
3,"CHEK1","gene","BLADDER"
3,"CHERP","gene","BLADDER"
2,"CIAO3","gene","BLADDER"
3,"CLEC16A","gene","BLADDER"
3,"CNIH2","gene","BLADDER"
2,"CNPY1","gene","BLADDER"
2,"COA8","gene","BLADDER"
3,"COX4I1","gene","BLADDER"
3,"CRLS1","gene","BLADDER"
1,"CTNNBL1","gene","BLADDER"
3,"CWF19L2","gene","BLADDER"
3,"CYB5D2","gene","BLADDER"
2,"CZIB","gene","BLADDER"
3,"DCAF8","gene","BLADDER"
3,"DDI2","gene","BLADDER"
3,"DGCR6","gene","BLADDER"
3,"DLAT","gene","BLADDER"
3,"DNAI7","gene","BLADDER"
3,"DNAJC19","gene","BLADDER"
1,"DNTT","gene","BLADDER"
3,"DPH5","gene","BLADDER"
3,"DPY30","gene","BLADDER"
3,"DRAM2","gene","BLADDER"
3,"E4F1","gene","BLADDER"
3,"EED","gene","BLADDER"
3,"EEF1G","gene","BLADDER"
3,"EIF3D","gene","BLADDER"
3,"EIF3K","gene","BLADDER"
3,"EIF4A2","gene","BLADDER"
3,"EIF4B","gene","BLADDER"
3,"ELP3","gene","BLADDER"
2,"EMC8","gene","BLADDER"
3,"EPC2","gene","BLADDER"
2,"EPRS1","gene","BLADDER"
3,"ESYT1","gene","BLADDER"
1,"ETFDH","gene","BLADDER"
3,"ETFRF1","gene","BLADDER"
3,"FAAP100","gene","BLADDER"
3,"FAF1","gene","BLADDER"
3,"FAM174B","gene","BLADDER"
3,"FAM229B","gene","BLADDER"
3,"FKBP15","gene","BLADDER"
1,"FKTN","gene","BLADDER"
3,"GGCX","gene","BLADDER"
2,"GNL3","gene","BLADDER"
3,"GOLGA7","gene","BLADDER"
3,"HAP1","gene","BLADDER"
3,"HAX1","gene","BLADDER"
3,"HM13","gene","BLADDER"
1,"HMGA1","gene","BLADDER"
3,"HOXA10","gene","BLADDER"
2,"HOXA9","gene","BLADDER"
3,"HS2ST1","gene","BLADDER"
1,"IFT122","gene","BLADDER"
1,"IPO8","gene","BLADDER"
3,"ITFG1","gene","BLADDER"
3,"KIAA2013","gene","BLADDER"
2,"KIFBP","gene","BLADDER"
3,"KLC1","gene","BLADDER"
3,"KLHDC9","gene","BLADDER"
3,"KMT2A","gene","BLADDER"
3,"LEO1","gene","BLADDER"
1,"LINS1","gene","BLADDER"
3,"LRRCC1","gene","BLADDER"
3,"LSM4","gene","BLADDER"
3,"MAP4K1","gene","BLADDER"
3,"MBD4","gene","BLADDER"
1,"MCTS1","gene","BLADDER"
3,"ME2","gene","BLADDER"
3,"MED1","gene","BLADDER"
3,"MED29","gene","BLADDER"
1,"MEF2C","gene","BLADDER"
3,"MKS1","gene","BLADDER"
1,"MPC1","gene","BLADDER"
3,"MPND","gene","BLADDER"
3,"MRFAP1","gene","BLADDER"
3,"MRPL15","gene","BLADDER"
