"","x"
"ALKBH2_B",3
"ALKBH3-AS1_B",3
"ALKBH3_B",3
"ALKBH4_B",3
"ALKBH5_B",3
"ALKBH6_B",3
"ALKBH7_B",3
"ALKBH8_B",1
"ALK_B",3
"ALLC_B",1
"ALMS1-IT1_B",1
"ALMS1_B",3
"ALOX12-AS1_B",3
"ALOX12B_B",3
"ALOX12_B",3
"ALOX15B_B",2
"ALOX15_B",3
"ALOX5AP_B",2
"ALOX5_B",3
"ALOXE3_B",1
"ALPI_B",2
"ALPK1_B",1
"ALPK2_B",1
"ALPK3_B",1
"ALPL_B",1
"ALPP_B",3
"ALS2CL_B",3
"ALS2_B",1
"ALX1_B",2
"ALX3_B",3
"ALX4_B",3
"ALYREF_B",2
"AMACR_B",3
"AMBN_B",1
"AMBP_B",3
"AMBRA1_B",3
"AMD1_B",3
"AMDHD1_B",3
"AMDHD2_B",3
"AMELX_B",1
"AMELY_B",1
"AMER1_B",3
"AMER2_B",1
"AMER3_B",3
"AMFR_B",3
"AMHR2_B",3
"AMH_B",3
"AMIGO1_B",3
"AMIGO2_B",2
"AMIGO3_B",3
"AMMECR1L_B",3
"AMMECR1_B",3
"AMN1_B",1
"AMN_B",3
"AMOTL1_B",1
"AMOTL2_B",1
"AMOT_B",1
"AMPD1_B",1
"AMPD2_B",3
"AMPD3_B",3
"AMPH_B",3
"AMTN_B",1
"AMT_B",3
"AMY1A_B",3
"AMY1B_B",1
"AMY1C_B",1
"AMY2A_B",1
"AMY2B_B",1
"AMZ1_B",3
"AMZ2_B",3
"ANAPC10_B",1
"ANAPC11_B",3
"ANAPC13_B",3
"ANAPC15_B",1
"ANAPC16_B",3
"ANAPC1_B",3
"ANAPC2_B",3
"ANAPC4_B",3
"ANAPC5_B",3
"ANAPC7_B",3
"ANGEL1_B",3
"ANGEL2_B",3
"ANGPT1_B",1
"ANGPT2_B",2
"ANGPT4_B",2
"ANGPTL1_B",2
"ANGPTL2_B",3
"ANGPTL3_B",1
"ANGPTL4_B",3
"ANGPTL5_B",1
"ANGPTL6_B",3
"ANGPTL7_B",2
"ANGPTL8_B",3
"ANG_B",1
"ANHX_B",3
"ANK1_B",3
"ANK2_B",1
"ANK3_B",1
"ANKAR_B",1
"ANKDD1A_B",3
"ANKDD1B_B",3
"ANKEF1_B",2
"ANKFN1_B",1
"ANKFY1_B",1
"ANKH_B",3
"ANKIB1_B",1
"ANKK1_B",3
"ANKLE1_B",3
"ANKLE2_B",3
"ANKMY1_B",3
"ANKMY2_B",3
"ANKRA2_B",3
"ANKRD10_B",3
"ANKRD11_B",3
"ANKRD12_B",1
"ANKRD13A_B",3
"ANKRD13B_B",3
"ANKRD13C_B",1
"ANKRD13D_B",3
"ANKRD16_B",3
"ANKRD17_B",3
"ANKRD18A_B",3
"ANKRD18B_B",3
"ANKRD18DP_B",3
"ANKRD1_B",1
"ANKRD20A1_B",3
"ANKRD20A8P_B",3
"ANKRD22_B",2
"ANKRD23_B",3
"ANKRD24_B",3
"ANKRD26P3_B",3
"ANKRD26_B",3
"ANKRD27_B",3
"ANKRD28_B",1
"ANKRD29_B",1
"ANKRD2_B",2
"ANKRD30A_B",2
"ANKRD30BL_B",3
"ANKRD30B_B",1
"ANKRD31_B",1
"ANKRD33B_B",3
"ANKRD33_B",3
"ANKRD34A_B",3
"ANKRD34B_B",3
"ANKRD34C-AS1_B",1
"ANKRD34C_B",3
"ANKRD35_B",3
"ANKRD36BP1_B",1
"ANKRD36B_B",1
"ANKRD36C_B",3
"ANKRD36_B",1
"ANKRD37_B",3
"ANKRD39_B",3
"ANKRD40_B",1
"ANKRD42_B",3
"ANKRD44-IT1_B",1
"ANKRD44_B",3
"ANKRD45_B",1
"ANKRD46_B",3
"ANKRD49_B",3
"ANKRD50_B",3
"ANKRD52_B",3
"ANKRD53_B",3
"ANKRD54_B",3
"ANKRD55_B",1
"ANKRD60_B",2
"ANKRD61_B",1
"ANKRD62_B",3
"ANKRD63_B",3
"ANKRD65_B",3
"ANKRD66_B",1
"ANKRD6_B",1
"ANKRD7_B",3
"ANKRD9_B",3
"ANKS1A_B",1
"ANKS1B_B",1
"ANKS3_B",3
"ANKS4B_B",2
"ANKS6_B",3
"ANKUB1_B",1
"ANKZF1_B",3
"ANLN_B",2
"ANO10_B",3
"ANO1_B",3
"ANO2_B",1
"ANO3_B",1
"ANO4_B",1
"ANO5_B",3
"ANO6_B",1
"ANO7_B",3
"ANO8_B",3
"ANO9_B",3
"ANOS1_B",3
"ANP32AP1_B",2
"ANP32A_B",3
